Location,Code,Count,Games Guessed In,Player Guessed,Latitude,Longitude,
Lake Albert,¤¤-AFR,1,0350-,"Qh,","1,68","30,92",
Lake Chad,¤¤-AFR,1,0350-,"25,","13,00","14,50",
Lake Kivu,¤¤-AFR,1,0350-,"Ev,","-2,04","29,18",
Lake Malawi,¤¤-AFR,1,0350-,"KJ,","-11,67","34,68",
Lake Tanganyika,¤¤-AFR,1,0350-,"aa,","-6,25","29,51",
Lake Victoria,¤¤-AFR,2,0141-1058-,"CC,br,","-0,75","33,43",
Mbanié,¤¤-AFR,1,1586-,"6k,","0,81","9,38",
Mount Muhabura,¤¤-AFR,1,0270-,"FB,","-1,38","29,67",
Nigalgeribya (Coordinates),¤¤-AFR,1,1455-,"b1,","23,50","12,00",
W National Park,¤¤-AFR,3,0388-1591-1821-,"pi,BS,LN,","12,04","3,03",
Apsarasas Kangri,¤¤-ASI,1,0755-,"cw,","35,54","77,15",
Aral Sea,¤¤-ASI,1,0350-,"jd,","45,38","59,60",
Chomolhari,¤¤-ASI,1,1419-,"6k,","27,82","89,27",
Dead Sea,¤¤-ASI,1,0176-,"øQ,","31,55","35,46",
Gangkhar Puensum,¤¤-ASI,4,0690-0755-1419-1751-,"IK,jv,jv,tb,","28,04","90,45",
Inmohero (Coordinates),¤¤-ASI,1,0127-,"xy,","53,33","121,50",
Jengish Chokusu,¤¤-ASI,3,0813-1058-1483-,"pi,Ve,pz,","42,03","80,12",
K2,¤¤-ASI,9,0073-0126-0247-0277-0805-0916-0963-1028-1209-,"LS,sL,mi,fk,AS,g4,@D,KJ,bt,","35,88","76,51",
Kabru,¤¤-ASI,1,0690-,"25,","27,63","88,11",
Kangchenjunga,¤¤-ASI,5,0755-0814-1290-1406-1483-,"@a,s0,I+,gi,I+,","27,70","88,15",
Khan Tengri,¤¤-ASI,2,0690-0755-,"fr,G4,","42,21","80,17",
Kuba Island,¤¤-ASI,1,1586-,"lf,","26,17","127,24",
Liancourt Rocks / Dokdo,¤¤-ASI,1,1558-,"B↓,","37,24","131,87",
Mount Bazardüzü,¤¤-ASI,1,0792-,"ot,","41,22","47,85",
Mount Everest,¤¤-ASI,23,"0023-0073-0126-0277-0324-0429-0592-0690-0805-0963
0991-1028-1043-1058-1069-1166-1238-1290-1441-1483
1574-1748-1831-","gs,71,CC,To,bd,vi,S7,I♠,LS,fr,
el,bg,bg,vi,GE,JH,b1,m4,lf,CR,
JJ,b1,V?,","27,98","86,92",
Pereval Pass,¤¤-ASI,1,0195-,"pe,","42,96","77,01",
Pratas Island,¤¤-ASI,1,0390-,"xy,","20,70","116,73",
Saltoro Kangri,¤¤-ASI,1,1483-,"3v,","35,40","76,85",
Xyznagar (Coordinates),¤¤-ASI,1,0950-,"xy,","31,82","78,69",
Col Agnel,¤¤-EUR,2,0812-1475-,"jv,j2,","44,68","6,97",
Kajmakčalan,¤¤-EUR,1,1550-,"Bf,","40,93","21,79",
Lake Constance,¤¤-EUR,1,0350-,"hi,","47,58","9,47",
Lake Geneva,¤¤-EUR,1,0350-,"TT,","46,44","6,53",
Lake Ohrid,¤¤-EUR,1,0350-,"Le,","41,04","20,72",
Liberland,¤¤-EUR,3,0193-1187-1586-,"gn,98,tw,","45,76","18,86",
Märket ¤¤,¤¤-EUR,5,0466-0587-0603-1187-1652-,"Fi,Fi,Fi,JC,LG,","60,30","19,13",
Matterhorn,¤¤-EUR,5,0073-0126-0690-1483-1751-,"e7,h3,ma,jv,TT,","45,97","7,65",
Mont Blanc,¤¤-EUR,7,0126-0899-0989-1058-1166-1483-1751-,"xy,91,br,xy,m4,m4,$f,","45,83","6,86",
Mont Dolent,¤¤-EUR,1,1307-,"Vk,","45,92","7,04",
Nasa Mountain,¤¤-EUR,1,0991-,"BS,","66,48","15,37",
Perućac Lake,¤¤-EUR,1,0350-,"pv,","43,96","19,37",
Pheasant Island,¤¤-EUR,2,1018-1187-,"To,pn,","43,34","-1,76",
Prokletije,¤¤-EUR,1,0989-,"b1,","42,45","19,80",
Treriksröset,¤¤-EUR,4,0023-0184-0209-0650-,"QR,Ev,TT,TT,","69,05","20,54",
Vukovar Island,¤¤-EUR,3,0231-1018-1187-,"§f,fr,d9,","45,34","19,03",
Hans Island,¤¤-NAM,6,0231-0392-0466-0614-1586-1652-,"si,jd,JR,To,je,ab,","80,83","-66,46",
Lake Champlain,¤¤-NAM,1,0350-,"ak,","44,58","-73,37",
Lake Erie,¤¤-NAM,1,0350-,"c6,","42,20","-81,20",
Lake of the Woods,¤¤-NAM,1,0350-,"vi,","48,99","-94,65",
Machias Seal Island,¤¤-NAM,1,1586-,"Bu,","44,50","-67,10",
St. Martin Island,¤¤-NAM,1,0079-,"JC,","18,06","-63,05",
Tripoint Belize Guatemala Mexico,¤¤-NAM,1,0683-,"BZ,","17,81","-89,15",
Hunter Island,¤¤-OCE,1,0231-,"IB,","-22,40","172,05",
South Minerva Reef,¤¤-OCE,1,0513-,"pe,","-23,83","-179,00",
Lake Titicaca,¤¤-SAM,1,0350-,"fr,","-15,83","-69,33",
Mount Roraima,¤¤-SAM,2,0690-1221-,"hi,ae,","5,20","-60,73",
Ojos del Salado,¤¤-SAM,2,0989-1166-,"pi,sy,","-27,10","-68,54",
Ollagüe Volcano,¤¤-SAM,1,0221-,"vi,","-21,30","-68,17",
Bir Tawil,¤¤↔BTA,5,0883-1005-1187-1455-1586-,"tb,To,mb,Ly,LL,","21,88","33,69",
Jabal Tawil,¤¤↔BTA,1,0763-,"s8,","21,96","33,80",
