Sort Code,Location,Code,Count,Games Guessed In,Player Guessed,Latitude,Longitude
NYC,New York City Combined,US-NYC,483,1867-,"xz,",,
NYC B,Brooklyn NYC,US-NYC,46,"0023-0171-0187-0204-0211-0220-0247-0312-0345-0350
0438-0491-0520-0569-0569-0569-0569-0569-0569-0569
0569-0569-0569-0569-0569-0569-0569-0571-0611-0696
0864-0884-1183-1188-1242-1270-1440-1456-1537-1539
1630-1672-1680-1714-1855-1867-","LS,du,xs,p&,j0,jw,BS,Qh,♥P,JC,
τρ,To,rr,MK,FB,JR,pe,TT,BS,ot,
To,Bf,na,g4,el,Rz,gs,♥P,ot,00,
98,@a,Bo,46,O9,au,11,ni,bd,tf,
j2,t9,j2,t1,k3,xz,",,
NYC M,Manhattan NYC,US-NYC,60,"0023-0090-0103-0202-0331-0401-0491-0495-0519-0526
0563-0569-0569-0569-0569-0569-0569-0569-0569-0569
0569-0569-0569-0569-0569-0569-0569-0569-0569-0569
0569-0569-0569-0618-0632-0632-0694-0864-1020-1072
1081-1086-1196-1306-1368-1402-1412-1418-1432-1450
1456-1472-1538-1570-1576-1673-1758-1758-1763-1786","Td,øQ,xs,Le,LL,jd,JR,s£,91,tx,
fb,00,pv,mc,jv,ho,I♠,rr,cw,au,
LL,tw,Ez,mi,ma,mg,rv,do,vi,Qh,
xy,LN,s8,I♠,na,do,91,bd,T8,tf,
br,br,j2,t9,W9,mh,ni,k3,b#,U◙,
rj,T2,j2,MK,BS,An,g4,W9,BS,TT,",,
NYC 1,New York City NYC (Full),  US-NYC  ,300,"0022-0026-0051-0052-0055-0061-0075-0077-0080-0095
0098-0099-0110-0123-0125-0138-0139-0152-0155-0176
0177-0190-0201-0206-0207-0208-0209-0211-0218-0223
0225-0230-0239-0258-0268-0289-0291-0293-0302-0308
0312-0314-0317-0318-0326-0329-0330-0343-0345-0347
0353-0356-0359-0368-0369-0378-0383-0386-0399-0402
0406-0414-0418-0432-0436-0438-0439-0443-0444-0452
0453-0462-0464-0469-0472-0477-0489-0506-0514-0515
0516-0527-0556-0560-0574-0577-0579-0590-0604-0610
0612-0614-0622-0625-0643-0644-0652-0663-0664-0669
0687-0688-0699-0700-0705-0713-0719-0720-0722-0730
0748-0750-0787-0804-0812-0832-0839-0860-0862-0863
0864-0877-0886-0898-0901-0918-0922-0923-0927-0930
0931-0935-0936-0937-0938-0939-0940-0943-0945-0947
0957-0960-0963-0964-0969-0971-0972-0973-0988-0991
0997-1000-1000-1005-1019-1020-1021-1023-1024-1028
1043-1049-1054-1055-1057-1077-1083-1090-1091-1092
1095-1098-1100-1103-1115-1116-1121-1124-1125-1131
1134-1139-1140-1157-1159-1161-1170-1172-1173-1197
1198-1199-1202-1203-1205-1217-1222-1226-1226-1231
1232-1233-1236-1242-1242-1245-1249-1251-1258-1263
1265-1269-1270-1273-1279-1281-1284-1292-1296-1304
1305-1312-1318-1319-1326-1327-1330-1334-1335-1340
1349-1351-1358-1361-1365-1366-1367-1369-1370-1372
1375-1377-1378-1387-1393-1401-1403-1414-1424-1431
1433-1444-1448-1457-1460-1461-1462-1464-1465-1466
1472-1479-1482-1484-1494-1502-1503-1506-1507-1508
1523-1527-1537-1539-1547-1549-1560-1563-1567-1573
1575-1581-1582-1590-1600-1601-1602-1603-1611-1612
1616-1619-1628-1641-1656-1660-1661-1672-1673-1683","kf,Fi,mj,Td,Td,mj,øQ,IB,Bo,→i,
51,øQ,51,Td,ak,CC,ak,ze,xs,ga,
ak,he,fq,j0,he,he,@8,67,BS,91,
he,h1,si,FB,c6,Go,To,Go,→i,BS,
Le,JC,vi,91,Ev,sa,aa,&2,To,JC,
pi,91,ir,cw,KJ,cw,67,el,mi,JC,
K1,jv,MT,KJ,JR,Co,Qh,c7,JC,K1,
Es,Fm,§c,FM,Jg,B∟,Qh,D?,Bf,af,
MK,JR,c7,js,rv,♥P,♣w,91,MK,s0,
ho,za,Bf,Qh,ma,mc,I♠,s0,bd,MK,
JC,S7,To,§c,LN,11,§c,el,Qh,FM,
LN,ot,el,FN,FB,GR,tw,§c,j♂,91,
Vx,el,§c,g4,I+,m4,bw,@a,§c,JC,
Nc,11,GE,§c,m4,11,fr,Nc,@a,91,
br,tb,ak,br,91,JC,Nc,pi,m4,br,
mm,j#,m4,BS,P4,ae,cm,W9,cm,LN,
p&,Bf,L1,br,L1,$f,b2,W9,91,BS,
af,GE,au,bt,MT,MK,mh,P7,b1,mm,
ot,O9,m4,mb,O9,Hq,91,JR,w4,w4,
Q4,O9,tf,O2,w4,tf,$f,Hq,z2,91,
tf,tf,O9,6k,O9,tf,tw,T2,m4,t9,
T2,O2,3v,T8,O9,$f,ka,GE,JR,Q4,
3v,Xa,M_,3v,46,t9,jv,G+,GE,M_,
tf,G+,ka,bd,ni,ab,G+,ju,G+,To,
k3,3v,ni,ju,k7,ab,ni,ni,N2,ni,
ni,46,Q4,bd,ju,Ej,ni,je,Q4,Bu,
M_,CS,j2,b1,ni,j2,W9,CC,P3,k3,
GE,ni,JJ,32,V?,LL,$f,mc,fr,D$,
JR,Bu,JJ,ab,j2,BS,V?,ot,sy,bd,
σa,gm,46,t1,MK,JR,tb,GE,GE,t1,",,
NYC 2,New York City NYC,  US-NYC  ,35,"1685-1692-1696-1698-1701-1712-1713-1717-1737-1746
1752-1753-1769-1771-1776-1780-1782-1787-1792-1793
1793-1795-1798-1801-1802-1803-1808-1826-1831-1839
1851-1853-1856-1860-1864-","$c,t9,46,j2,$f,MK,V?,V?,j2,au,
ds,k3,GE,ni,a2,fr,g4,P5,di,W9,
E1,B9,BS,bd,$a,ni,ni,tb,K1,TT,
ot,46,An,xz,D$,",,
NYC Q,Queens NYC,US-NYC,25,"0090-0154-0204-0297-0336-0491-0569-0569-0569-0569
0569-0569-0569-0569-0569-0719-0852-0922-1059-1063
1194-1368-1399-1418-1559-","MT,wm,Bf,s0,pv,J8,m♣,JC,bd,Ve,
pi,ia,1J,w2,IK,L1,LS,AS,pu,T8,
BS,MK,ni,ni,t1,",,
NYC S,Staten Island NYC,US-NYC,3,0056-0569-0569-,"Bf,Qi,S7,",,
NYC BX,The Bronx NYC,US-NYC,14,"0187-0207-0569-0569-0569-0569-0618-0918-1144-1188
1253-1456-1537-1574-","c6,Bf,fr,Fi,s0,c7,MK,au,IK,TT,
t9,ju,tf,tf,",,
LON,London Combined,UK-CAP,736,1867-,"$a,",,
LON BD,Barking and Dagenham,UK-CAP,8,0122-0378-0554-0554-0554-0980-1232-1847-,"JR,25,TT,Bf,pe,GR,MK,gi,",,
