Guess
"1. Tom_the_Terrible - Stockholm, Sweden - 5.65"
"2. @thisisawarning - Helsingborg, Sweden - 484.59"
"3. @Party555 - Berlin, Germany - 812.99"
"4. @thomasjoosten01 - Wolfsburg, Germany - 892.19"
"5. @FilipinoBreloom - Bodø, Norway - 906.52"
"6. @Project50Songs - Chesterfield, England - 1371.4"
"7. @Bulbocodium - Tägertschim Münsingen, Switzerland - 1548.38"
"8. @P3rcu5510n - Bulle, Switzerland - 1590.31"
"9. @gibbanana - Vado Ligure, Liguria, Italy - 1797.85"
"10. @Sparkyquizzer - Rome, Italy - 1979.33"
"11. theobashau - Mollet del Vallès, Catalonia, Spain - 2262.17"
"12. Voivode - Huesca, Huesca, Spain - 2294.96"
"13. VikingEric - Seville, Spain - 2983.14"
"14. xTLWz - Vladivostok, Russia - 4301.56"
"15. khake43 - Doha, Qatar - 4588.7"
"16. The_LEGO_Nerd - New Brunswick, New Jersey, United States - 6357.86"
"17. jackaronson23 - Richmond, Virginia, United States - 6774.53"
"18. david6k - Taixing, China - 7605.66"
"19. ASMR - Pendennis, Lane County, Kansas, USA - 7741"
"20. PolygonPuzzles - Hanoi, Vietnam - 7888"
"21. stlcardinalsfan - Kitwe, Zambia - 8077.68"
"22. KansasJayhawk - Ndola, Zambia - 8099.76"
"23. baldorr - Kawanehon, Japan - 8155.95"
"24. guilherme_4 - Morgan City, LA, USA - 8195.22"
"25. MongolKitten - San Jose, California, USA - 8647.1"
"26. Annarita94 - Santa Clara, California, USA - 8651.74"
"27. HistoryQuizzer - São Luís, Brazil - 8733.1"
"28. Wayne6942 - Cupira, Pernambuco, Brazil - 8933.66"
"29. aaditya08-08-05 - Dois Riachos, Alagoas, Brazil - 9053.73"
"30. sauergeek - Brasilia, Brazil - 9961.51"
"31. BombaySapphire - Gqeberha, South Africa - 10400.87"
"32. pqpard - Montevideo, Uruguay - 12480.6"
"33. @australiantiger - Perth, Western Australia, Australia - 13450.62"
"34. @Blebleble1419 - Sydney, Australia - 15598.71"
"35. @ladylora - Tiritiri Matangi Island, Hauraki Gulf, New Zealand - 16969.61"
"36. @davidsomodio - Auckland, New Zealand - 17009.01"
"37. @lollipopfreak - Football Mountain, Antarctica - 18105.3"
"38. systemofaglobe - Fuchū, Tokyo, Japan - 8163.68"
